Age,AnnualIncome_k,SpendingScore,Frequency,Recency,cluster
61,43.5,50,1,273,3
41,10.0,78,4,325,3
32,61.7,75,5,108,2
49,34.7,9,1,139,3
49,100.8,34,2,350,1
41,51.4,76,2,271,1
58,61.4,99,4,347,1
69,71.7,35,5,289,0
66,52.0,1,5,212,0
66,56.9,40,3,272,3
69,85.3,64,1,66,2
29,28.0,22,5,248,3
56,38.9,60,4,156,3
19,31.0,64,4,47,2
20,103.1,93,2,201,1
66,38.9,72,4,148,3
54,55.7,11,2,124,3
66,42.0,14,1,1,2
34,50.8,60,3,247,1
66,37.9,30,1,343,3
19,73.9,35,4,128,2
19,28.8,85,1,191,2
45,19.4,37,2,67,2
40,43.2,5,4,4,0
54,36.1,83,1,303,3
49,19.9,78,6,294,3
50,50.3,26,2,143,3
18,10.2,62,3,191,2
36,111.8,4,4,21,0
19,15.2,89,4,227,2
61,40.6,42,1,313,3
43,47.9,89,3,117,2
49,110.5,18,1,302,1
23,10.0,40,2,142,2
49,64.3,72,6,39,0
21,91.1,39,4,355,1
28,50.7,14,4,252,0
34,24.9,32,3,333,3
55,56.8,51,3,207,3
41,105.8,38,2,210,1
22,41.5,97,1,115,2
69,103.1,23,3,225,0
51,67.8,63,1,134,2
23,97.0,15,7,251,0
39,66.6,97,3,219,1
28,45.5,25,1,91,2
65,109.2,17,6,354,0
33,66.8,97,2,46,2
50,65.0,66,4,38,2
26,84.2,78,2,142,1
23,87.7,53,3,100,2
33,84.4,51,1,328,1
46,19.5,39,2,190,3
20,40.9,51,3,35,2
37,40.3,70,4,147,2
53,36.6,6,4,30,0
36,33.8,67,5,334,3
43,39.9,7,1,84,2
20,70.1,51,3,281,1
36,74.8,72,3,344,1
37,60.0,42,3,270,3
49,47.2,64,4,154,2
24,98.3,15,1,102,2
69,57.3,29,3,215,3
58,88.1,33,5,150,0
50,42.9,94,6,83,2
57,72.4,27,6,110,0
56,100.3,36,7,275,0
35,10.0,29,3,201,3
57,40.3,38,2,284,3
18,77.8,57,1,173,1
28,96.4,97,1,327,1
45,66.1,27,5,206,0
42,61.5,55,2,63,2
67,108.3,33,3,73,0
40,98.2,68,2,251,1
48,33.9,86,5,124,2
47,63.5,66,1,121,2
59,70.8,10,3,275,3
52,111.6,5,4,120,0
24,86.0,74,3,317,1
33,56.9,97,7,164,1
43,66.6,38,6,286,0
65,10.0,13,3,265,3
69,89.1,31,5,320,0
66,79.4,47,3,161,0
19,96.4,100,1,308,1
18,55.7,88,2,89,2
65,63.8,52,1,142,3
29,45.6,56,1,203,2
22,25.6,15,1,309,3
54,41.9,29,4,227,3
